0.834435,0.752755,0.59739,0.383548,0.132162,-0.132162,-0.383548,-0.59739,-0.752755,-0.834435
0.609609,0.549937,0.436432,0.280207,0.0965528,-0.0965525,-0.280207,-0.436432,-0.549936,-0.609609
0.444456,0.40095,0.318196,0.204294,0.0703952,-0.0703947,-0.204294,-0.318195,-0.400949,-0.444456
0.32281,0.291211,0.231106,0.14838,0.0511283,-0.0511277,-0.148379,-0.231106,-0.29121,-0.322809
0.232762,0.209978,0.166639,0.106989,0.0368662,-0.0368655,-0.106988,-0.166639,-0.209977,-0.232761
0.165499,0.149298,0.118484,0.0760715,0.0262127,-0.026212,-0.0760708,-0.118483,-0.149298,-0.165498
0.114435,0.103233,0.0819266,0.0526002,0.018125,-0.0181243,-0.0525995,-0.0819258,-0.103233,-0.114434
0.0745734,0.0672736,0.0533887,0.0342777,0.0118115,-0.0118109,-0.0342771,-0.053388,-0.0672729,-0.0745726
0.0420112,0.0378988,0.0300767,0.0193105,0.00665408,-0.00665366,-0.0193101,-0.0300763,-0.0378984,-0.0420107
0.0135613,0.0122338,0.00970879,0.00623345,0.00214795,-0.0021478,-0.0062333,-0.00970863,-0.0122336,-0.0135611
