-0.00278887, -0.000297253, -0.00337688, -0.00432044, -0.0032231, -0.00211652, -0.000802763, 0.000589578, 0.00192421, 0.00307048, 0.00391619, 0.00437856, 0.00441233, 0.00401418, 0.0032231, 0.00211652, 0.000802763, -0.000589578, -0.00192421, -0.00307048, -0.00391619, 
-0.00661249, 0.00048892, -0.00452054, -0.00808708, -0.00765313, -0.00535219, -0.00263791, 3.83101e-05, 0.00279215, 0.00526654, 0.00722541, 0.00847701, 0.00889881, 0.00844954, 0.00717317, 0.00519464, 0.00270762, -4.44352e-05, -0.00279215, -0.00526654, -0.00722541, 
-0.0108928, 0.00182833, -0.00400491, -0.0103801, -0.0122075, -0.00978505, -0.00574237, -0.00156993, 0.00256736, 0.00644476, 0.00975406, 0.0120882, 0.0132416, 0.0130987, 0.0116736, 0.00910588, 0.00564677, 0.00163491, -0.00253698, -0.00646053, -0.00975169, 
-0.015293, 0.00343059, -0.00233679, -0.0110299, -0.0160007, -0.0148052, -0.0101691, -0.00442704, 0.00124134, 0.00657417, 0.0113342, 0.0150126, 0.017229, 0.0177446, 0.0165283, 0.0136933, 0.00951796, 0.00441093, -0.00112788, -0.00655629, -0.0113429, 
-0.0196037, 0.00513043, 8.74925e-05, -0.0101998, -0.0185292, -0.0196532, -0.0155707, -0.00864454, -0.0013361, 0.00561665, 0.0118926, 0.0170751, 0.0206406, 0.0221708, 0.021528, 0.0187749, 0.0141874, 0.00820984, 0.00142893, -0.00549189, -0.0118751, 
-0.0236841, 0.00682823, 0.0029731, -0.00816964, -0.0196151, -0.0237017, -0.0213564, -0.0140691, -0.00530699, 0.00344324, 0.0113703, 0.0181686, 0.0232806, 0.0261502, 0.0264528, 0.0241526, 0.0194919, 0.0129231, 0.00509024, -0.00324174, -0.0112561, 
-0.027432, 0.00845936, 0.00610386, -0.00523305, -0.0192951, -0.0265474, -0.0268948, -0.0202982, -0.0106509, -0.000102823, 0.00965278, 0.0182127, 0.0250085, 0.0294704, 0.0310699, 0.0296116, 0.0252469, 0.0184107, 0.00977566, 0.000182637, -0.009428, 
-0.0307686, 0.00997841, 0.00932004, -0.00165551, -0.0177233, -0.0280019, -0.0316511, -0.0267921, -0.0171325, -0.00509352, 0.00658476, 0.0170982, 0.0257199, 0.0319615, 0.0351525, 0.0349195, 0.0312461, 0.0245062, 0.0153705, 0.00473167, -0.00636987, 
-0.033631, 0.0113512, 0.012501, 0.0023374, -0.0151039, -0.0280422, -0.0352476, -0.0329951, -0.024339, -0.0114387, 0.0020425, 0.0146754, 0.0253037, 0.0334917, 0.0385044, 0.0398403, 0.0372612, 0.0310174, 0.0217301, 0.0103195, -0.00209889, 
-0.0359689, 0.0125507, 0.015553, 0.00655876, -0.0116514, -0.0267545, -0.0374697, -0.0384245, -0.0317627, -0.018872, -0.00399048, 0.0107923, 0.023618, 0.0339391, 0.0409662, 0.0441563, 0.0430525, 0.0377258, 0.0286802, 0.0168272, 0.00333023, 
