0.154694 0.254384 0.409019 0.508676 0.576956 0.645282 0.635051 0.641767 0.448036 0.252316 
-0.0543403 -0.00888995 0.0376792 0.119043 0.170979 0.240463 0.242834 0.248216 0.132973 0.0430449 
-0.0563734 -0.0472669 -0.0425136 -0.0129832 0.00475546 0.0261672 0.00961204 -0.0144554 -0.0682568 -0.0610765 
-0.0183886 -0.0227271 -0.0557967 -0.0624857 -0.0832031 -0.0956642 -0.121627 -0.144631 -0.136949 -0.0773396 
-0.0189075 -0.0361399 -0.0834346 -0.110475 -0.146012 -0.173312 -0.192912 -0.199197 -0.147321 -0.0660231 
-0.0107814 -0.0347483 -0.0847698 -0.120079 -0.159836 -0.186151 -0.19397 -0.181921 -0.112422 -0.038404 
-0.0102145 -0.0343318 -0.0820386 -0.116397 -0.150826 -0.170026 -0.16591 -0.143011 -0.0735991 -0.0192999 
-0.00623097 -0.026183 -0.0643695 -0.093213 -0.120673 -0.132807 -0.123202 -0.097554 -0.0415783 -0.00727325 
-0.00387156 -0.0159242 -0.0430039 -0.0629706 -0.0824875 -0.0901447 -0.0805039 -0.0601881 -0.02104 -0.00232817 
-0.000427237 -0.00337845 -0.0156533 -0.0243498 -0.034549 -0.0390412 -0.0342564 -0.0242388 -0.00469855 0.00120277 

