0.724757 0.82646 0.903342 0.982715 1.02845 1.0808 1.05624 1.09304 0.941169 1.33289 
0.415928 0.47593 0.48596 0.561648 0.52859 0.66396 0.518352 0.840221 0.343323 1.30521 
0.28013 0.345508 0.290485 0.400127 0.268947 0.484713 0.200483 0.646513 0.0430775 0.960693 
0.201758 0.285515 0.196236 0.331807 0.159679 0.398832 0.0875728 0.515896 -0.033726 0.722641 
0.159703 0.24785 0.152172 0.288804 0.117184 0.344362 0.0535766 0.437267 -0.0460613 0.598412 
0.144128 0.224172 0.138383 0.260864 0.106768 0.309687 0.0490057 0.392157 -0.0410035 0.537509 
0.147388 0.210404 0.145686 0.242608 0.117707 0.286019 0.0631427 0.364923 -0.0255444 0.512736 
0.160698 0.201035 0.165429 0.22526 0.14426 0.260252 0.0976593 0.337686 0.00929508 0.505254 
0.164322 0.184421 0.176111 0.203298 0.178228 0.23557 0.166486 0.300265 0.0983511 0.471229 
0.106891 0.132432 0.170411 0.221683 0.257131 0.287886 0.271872 0.268189 0.188118 0.247261 

