0.0764976, 0.227609, 0.373116, 0.509436, 0.633212, 0.741396, 0.831324, 0.900783, 0.948061, 0.971994, 0.971994, 0.948061, 0.900783, 0.831324, 0.741396, 0.633212, 0.509436, 0.373116, 0.227609, 0.0764976, 
0.0725747, 0.215937, 0.353982, 0.483311, 0.600739, 0.703376, 0.788692, 0.854589, 0.899442, 0.922149, 0.922149, 0.899442, 0.854589, 0.788692, 0.703376, 0.600739, 0.483311, 0.353982, 0.215937, 0.0725747, 
0.0686517, 0.204265, 0.334848, 0.457186, 0.568267, 0.665355, 0.74606, 0.808395, 0.850824, 0.872303, 0.872303, 0.850824, 0.808395, 0.74606, 0.665355, 0.568267, 0.457186, 0.334848, 0.204265, 0.0686517, 
0.0647288, 0.192592, 0.315714, 0.431061, 0.535795, 0.627335, 0.703428, 0.762201, 0.802205, 0.822457, 0.822457, 0.802205, 0.762201, 0.703428, 0.627335, 0.535795, 0.431061, 0.315714, 0.192592, 0.0647288, 
0.0608058, 0.18092, 0.29658, 0.404936, 0.503322, 0.589315, 0.660796, 0.716007, 0.753587, 0.772611, 0.772611, 0.753587, 0.716007, 0.660796, 0.589315, 0.503322, 0.404936, 0.29658, 0.18092, 0.0608058, 
0.0568828, 0.169248, 0.277445, 0.378811, 0.47085, 0.551294, 0.618164, 0.669813, 0.704968, 0.722765, 0.722765, 0.704968, 0.669813, 0.618164, 0.551294, 0.47085, 0.378811, 0.277445, 0.169248, 0.0568828, 
0.0529599, 0.157576, 0.258311, 0.352687, 0.438377, 0.513274, 0.575532, 0.623619, 0.65635, 0.672919, 0.672919, 0.65635, 0.623619, 0.575532, 0.513274, 0.438377, 0.352687, 0.258311, 0.157576, 0.0529599, 
0.0490369, 0.145903, 0.239177, 0.326562, 0.405905, 0.475254, 0.5329, 0.577425, 0.607731, 0.623073, 0.623073, 0.607731, 0.577425, 0.5329, 0.475254, 0.405905, 0.326562, 0.239177, 0.145903, 0.0490369, 
0.045114, 0.134231, 0.220043, 0.300437, 0.373433, 0.437233, 0.490268, 0.531231, 0.559113, 0.573227, 0.573227, 0.559113, 0.531231, 0.490268, 0.437233, 0.373433, 0.300437, 0.220043, 0.134231, 0.045114, 
0.041191, 0.122559, 0.200909, 0.274312, 0.34096, 0.399213, 0.447636, 0.485037, 0.510494, 0.523382, 0.523382, 0.510494, 0.485037, 0.447636, 0.399213, 0.34096, 0.274312, 0.200909, 0.122559, 0.041191, 
0.0372681, 0.110887, 0.181775, 0.248187, 0.308488, 0.361193, 0.405004, 0.438843, 0.461876, 0.473536, 0.473536, 0.461876, 0.438843, 0.405004, 0.361193, 0.308488, 0.248187, 0.181775, 0.110887, 0.0372681, 
0.0333451, 0.0992143, 0.16264, 0.222062, 0.276015, 0.323173, 0.362372, 0.392649, 0.413257, 0.42369, 0.42369, 0.413257, 0.392649, 0.362372, 0.323173, 0.276015, 0.222062, 0.16264, 0.0992143, 0.0333451, 
0.0294222, 0.087542, 0.143506, 0.195937, 0.243543, 0.285152, 0.31974, 0.346455, 0.364639, 0.373844, 0.373844, 0.364639, 0.346455, 0.31974, 0.285152, 0.243543, 0.195937, 0.143506, 0.087542, 0.0294222, 
0.0254992, 0.0758697, 0.124372, 0.169812, 0.211071, 0.247132, 0.277108, 0.300261, 0.31602, 0.323998, 0.323998, 0.31602, 0.300261, 0.277108, 0.247132, 0.211071, 0.169812, 0.124372, 0.0758697, 0.0254992, 
0.0215763, 0.0641975, 0.105238, 0.143687, 0.178598, 0.209112, 0.234476, 0.254067, 0.267402, 0.274152, 0.274152, 0.267402, 0.254067, 0.234476, 0.209112, 0.178598, 0.143687, 0.105238, 0.0641975, 0.0215763, 
0.0176533, 0.0525252, 0.0861038, 0.117562, 0.146126, 0.171091, 0.191844, 0.207873, 0.218783, 0.224306, 0.224306, 0.218783, 0.207873, 0.191844, 0.171091, 0.146126, 0.117562, 0.0861038, 0.0525252, 0.0176533, 
0.0137303, 0.0408529, 0.0669696, 0.0914372, 0.113653, 0.133071, 0.149212, 0.161679, 0.170165, 0.174461, 0.174461, 0.170165, 0.161679, 0.149212, 0.133071, 0.113653, 0.0914372, 0.0669696, 0.0408529, 0.0137303, 
0.00980739, 0.0291807, 0.0478354, 0.0653123, 0.081181, 0.0950507, 0.10658, 0.115485, 0.121546, 0.124615, 0.124615, 0.121546, 0.115485, 0.10658, 0.0950507, 0.081181, 0.0653123, 0.0478354, 0.0291807, 0.00980739, 
0.00588443, 0.0175084, 0.0287013, 0.0391874, 0.0487086, 0.0570304, 0.063948, 0.069291, 0.0729277, 0.0747688, 0.0747688, 0.0729277, 0.069291, 0.063948, 0.0570304, 0.0487086, 0.0391874, 0.0287013, 0.0175084, 0.00588443, 
0.00196148, 0.00583613, 0.00956709, 0.0130625, 0.0162362, 0.0190101, 0.021316, 0.023097, 0.0243092, 0.0249229, 0.0249229, 0.0243092, 0.023097, 0.021316, 0.0190101, 0.0162362, 0.0130625, 0.00956709, 0.00583613, 0.00196148, 

